latitude,longitude,source_typ,ems_type,source_cat,Grouping,EIS,Centroid_X,Centroid_Y
37.78683,-122.29108,EGen,high,Electricity-Generation-via-Combustion,0,136511,37.78683,-122.29108
37.87839,-122.3033,AutoRepair,high,Auto-Body-Painting-or-Repair-Shop,0,138911,37.87839,-122.3033
37.73715,-122.16575,Retail-Res,high,Institution,0,141411,37.73715,-122.16575
37.79717,-122.22988,Retail-Res,high,Institution,0,310211,37.79717,-122.22988
37.85367,-122.25707,Retail-Res,high,Institution,0,338911,37.85367,-122.25707
37.80074,-122.2926,FoodPlant,high,Food-Products-Processing-Plant,0,343011,37.80074,-122.2926
37.86589,-122.30037,Eateries,high,Breweries-Distilleries-Wineries,0,375111,37.86589,-122.30037
37.82562,-122.29663,WWTP,high,Wastewater-Treatment-Facility,0,379511,37.82562,-122.29663
37.74786,-122.19333,Foundaries,high,Foundries-Iron-and-Steel,0,382111,37.74786,-122.19333
37.76954,-122.18041,Misc,high,Crematory-Human,0,382911,37.76954,-122.18041
37.87577,-122.30542,Foundaries,high,Foundries-Iron-and-Steel,0,405311,37.87577,-122.30542
37.72204,-122.2001,Transportation,high,Port,0,444911,37.72204,-122.2001
37.87743,-122.25088,Retail-Res,high,Institution,0,448011,37.87743,-122.25088
37.87736,-122.30129,ConcretePlant,high,Concrete-Batch-Plant,0,477811,37.87736,-122.30129
37.7233,-122.19079,FoodPlant,high,Food-Products-Processing-Plant,0,512911,37.7233,-122.19079
37.756914,-122.209381,Eateries,high,Bakeries,0,771711,37.756914,-122.209381
37.86982,-122.30178,AsphaltPlant,high,Hot-Mix-Asphalt-Plant,0,808611,37.86982,-122.30178
37.79355,-122.26824,FoodPlant,high,Food-Products-Processing-Plant,0,808811,37.79355,-122.26824
37.874385,-122.304415,Foundaries,high,Foundries-Iron-and-Steel,0,3963311,37.874385,-122.304415
37.72074,-122.19053,Manufacturing,high,Metals,0,3963411,37.72074,-122.19053
37.71039,-122.18267,Foundaries,high,Foundries-Iron-and-Steel,0,10457711,37.71039,-122.18267
37.83569,-122.26765,Retail-Res,high,Institution,0,10460511,37.83569,-122.26765
37.8088,-122.28793,Retail-Res,high,Institution,0,10469511,37.8088,-122.28793
37.77302,-122.23788,Manufacturing,high,Manufacturing,0,10476711,37.77302,-122.23788
37.76275,-122.22232,AsphaltPlant,high,Hot-Mix-Asphalt-Plant,0,10510811,37.76275,-122.22232
37.87243,-122.26658,Retail-Res,high,Institution,0,10517111,37.87243,-122.26658
37.81529,-122.28678,ConcretePlant,high,Concrete-Batch-Plant,0,10518911,37.81529,-122.28678
37.86992,-122.2588,EGen,high,Electricity-Generation-via-Combustion,0,10707511,37.86992,-122.2588
37.71463,-122.19043,Waste,high,Landfill,0,10708011,37.71463,-122.19043
37.70556,-122.15209,Manufacturing,high,Manufacturing,0,10708111,37.70556,-122.15209
37.825995,-122.289321,Retail-Res,high,Institution,0,13761011,37.825995,-122.289321
37.82312,-122.2906,Manufacturing,high,Concrete-Block-Pipe-or-Other-Manuf,0,13801611,37.82312,-122.2906
37.782573,-122.187899,Retail-Res,high,Institution,0,14122011,37.782573,-122.187899
37.80194,-122.27116,Retail-Res,high,Institution,0,14241511,37.80194,-122.27116
37.7475,-122.187,Manufacturing,high,Manufacturing,0,14267411,37.7475,-122.187
37.72798,-122.246483,FoodPlant,high,Food-Products-Processing-Plant,0,14318611,37.72798,-122.246483
37.751911,-122.187788,FoodPlant,high,Food-Products-Processing-Plant,0,15713811,37.751911,-122.187788
37.709936,-122.158456,AutoRepair,high,Auto-Body-Painting-or-Repair-Shop,0,15714511,37.709936,-122.158456
37.807649,-122.255408,Retail-Res,high,Residential,0,15745711,37.807649,-122.255408
37.695818,-122.164205,FoodPlant,high,Food-Products-Processing-Plant,0,15756011,37.695818,-122.164205
37.809699,-122.264616,Retail-Res,high,Institution,0,15941111,37.809699,-122.264616
37.881827,-122.306637,Misc,high,GasStation,0,18134411,37.881827,-122.306637
37.815798,-122.313141,Transportation,high,Port,0,18135311,37.815798,-122.313141
37.797089,-122.263954,Retail-Res,high,Institution,0,18492711,37.797089,-122.263954
37.759959,-122.207782,Waste,high,Waste-Recycling,0,18782611,37.759959,-122.207782
37.70775,-122.11869,Retail-Res,high,Institution,1,450311,37.713306,-122.1221633
37.7156,-122.1163,Retail-Res,high,Institution,1,13760911,,
37.716568,-122.1315,Retail-Res,high,Institution,1,15721111,,
37.704586,-122.161181,Retail-Res,high,Wholesale,2,17244511,37.70813867,-122.1754537
37.70687,-122.1765,Retail-Res,high,Wholesale,2,18135811,,
37.71296,-122.18868,Retail-Res,high,Wholesale,2,18778911,,
37.76128,-122.25279,Retail-Res,high,Institution,3,310411,37.74415,-122.2434167
37.74567,-122.23476,Retail-Res,high,Institution,3,10452911,,
37.7255,-122.2427,Retail-Res,high,Institution,3,13750711,,
37.79839,-122.27506,Retail-Res,high,Institution,4,1106211,37.79715667,-122.2758467
37.798246,-122.27816,Retail-Res,high,Wholesale,4,17250611,,
37.794834,-122.27432,Retail-Res,high,Residential,4,18697111,,
37.805,-122.2744,Retail-Res,high,Institution,5,14292411,37.8055455,-122.273745
37.806091,-122.27309,Retail-Res,high,Institution,5,15750711,,
37.82269,-122.25757,Retail-Res,high,Institution,6,137211,37.819442,-122.2625555
37.817948,-122.265902,Retail-Res,high,Institution,6,200611,,
37.81785,-122.26401,Retail-Res,high,Institution,6,400211,,
37.81928,-122.26274,Retail-Res,high,Institution,6,400311,,
37.87785,-122.30527,Retail-Res,high,Institution,7,203711,37.878429,-122.302847
37.87632,-122.30514,Retail-Res,high,Institution,7,7845611,,
37.881117,-122.298131,Retail-Res,high,Retail,7,18128911,,
37.70459,-122.17404,Manufacturing,high,Manufacturing,8,445511,37.70663333,-122.1792047
37.707731,-122.185434,Manufacturing,high,Manufacturing,8,15755511,,
37.707579,-122.17814,Manufacturing,high,Manufacturing,8,18776211,,
37.74046,-122.21367,Manufacturing,high,Manufacturing,9,380611,37.738895,-122.21601
37.73733,-122.21835,Manufacturing,high,Manufacturing,9,773811,,
37.76033,-122.2057,Manufacturing,high,Manufacturing,10,140211,37.7636345,-122.211018
37.766939,-122.216336,Manufacturing,high,Manufacturing,10,18787011,,
37.78807,-122.29348,Manufacturing,high,Fiberglass-Products-Manuf,11,515411,37.79481667,-122.2902167
37.79987,-122.28708,Manufacturing,high,Dry-Cleaner-Petroleum-Solvent,11,10457511,,
37.79651,-122.29009,Manufacturing,high,Metals,11,10457611,,
37.7971,-122.28229,EGen,high,Electricity-Generation-via-Combustion,12,772011,37.80185,-122.27795
37.8066,-122.27361,EGen,high,Electricity-Generation-via-Combustion,12,10472611,,
37.7711,-122.23472,ConcretePlant,high,Concrete-Batch-Plant,13,193511,37.771545,-122.23538
37.77199,-122.23604,ConcretePlant,high,Concrete-Batch-Plant,13,1105111,,
37.70902,-122.14191,FoodPlant,high,Food-Products-Processing-Plant,14,340611,37.704465,-122.14023
37.69991,-122.13855,FoodPlant,high,Food-Products-Processing-Plant,14,10466511,,
37.81793,-122.2846,Waste,high,Waste-Recycling,15,168411,37.81462,-122.293275
37.81131,-122.30195,Waste,high,Waste-Recycling,15,10477411,,
37.862692,-122.297708,Manufacturing,high,Metals,16,10457411,37.85834067,-122.296536
37.85785,-122.29592,Manufacturing,high,Pharmaceutical-Manufacturing,16,10523411,,
37.85448,-122.29598,Manufacturing,high,Manufacturing,16,14182811,,
